apartment,apt
basement,bsmt
building,bldg
department,dept
floor,fl
front,frnt
hangar,hngr
lobby,lbby
lower,lowr
office,ofc
penthouse,ph
room,rm
space,spc
suite,ste
trailer,trlr
upper,uppr
